date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:53:42	4165/4165	---M-Z	200	added ('OK')	text/xml	date:Mon,%2005%20Dec%202022%2002:53:38%20GMT	https://duhoctinphat.edu.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fduhoctinphat.edu.vn%2Fngoai-ngu%2Fhoc-tieng-han-co-de-khong-cach-hoc-nao-hieu-qua-nhat-cho-nguoi-moi-bat-dau%2F&format=xml	D:/clone/duhoc/duhoctinphat.edu.vn/wp-json/oembed/1.0/embedd6bf	(from https://duhoctinphat.edu.vn/ngoai-ngu/hoc-tieng-han-co-de-khong-cach-hoc-nao-hieu-qua-nhat-cho-nguoi-moi-bat-dau/)
09:53:42	84903/84903	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:38%20GMT	https://duhoctinphat.edu.vn/du-hoc/dai-hoc-hallym-truong-dao-tao-nganh-truyen-thong-xuat-sac-nhat-han-quoc/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/dai-hoc-hallym-truong-dao-tao-nganh-truyen-thong-xuat-sac-nhat-han-quoc/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-han-quoc/?trang=2)
09:53:44	80639/80639	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:39%20GMT	https://duhoctinphat.edu.vn/du-hoc/truong-dai-hoc-keimyung-moi-truong-hoc-tap-tot-cua-nguoi-theo-dao/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/truong-dai-hoc-keimyung-moi-truong-hoc-tap-tot-cua-nguoi-theo-dao/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-han-quoc/?trang=2)
09:53:45	286601/286601	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Sep%202021%2010:05:09%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2021/09/chucaitienghan.png	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2021/09/chucaitienghan.png	(from https://duhoctinphat.edu.vn/ngoai-ngu/hoc-tieng-han-co-de-khong-cach-hoc-nao-hieu-qua-nhat-cho-nguoi-moi-bat-dau/)
09:53:46	83582/83582	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:39%20GMT	https://duhoctinphat.edu.vn/du-hoc/dai-hoc-khoa-hoc-va-cong-nghe-quoc-gia-seoul-seoultech/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/dai-hoc-khoa-hoc-va-cong-nghe-quoc-gia-seoul-seoultech/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-han-quoc/?trang=2)
09:53:47	18477/18477	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Mon,%2005%20Dec%202022%2002:53:39%20GMT	https://duhoctinphat.edu.vn/du-hoc/truong-dai-hoc-hongik-han-quoc-%ed%99%8d%ec%9d%b5%eb%8c%80%ed%95%99%ea%b5%90/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/truong-dai-hoc-hongik-han-quoc-%ed%99%8d%ec%9d%b5%eb%8c%80%ed%95%99%ea%b5%90/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-han-quoc/?trang=2)
09:53:47	85480/85480	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:41%20GMT	https://duhoctinphat.edu.vn/du-hoc/truong-dai-hoc-quoc-gia-chonbuk-han-quoc-truong-jeonbuk/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/truong-dai-hoc-quoc-gia-chonbuk-han-quoc-truong-jeonbuk/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-han-quoc/?trang=2)
09:53:47	87362/87362	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:41%20GMT	https://duhoctinphat.edu.vn/du-hoc/truong-dai-hoc-kookmin-ngoi-truong-xanh-o-han-quoc/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/truong-dai-hoc-kookmin-ngoi-truong-xanh-o-han-quoc/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-han-quoc/?trang=2)
09:53:47	75481/75481	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:43%20GMT	https://duhoctinphat.edu.vn/du-hoc/dai-hoc-quoc-gia-pukyong-han-quoc/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/dai-hoc-quoc-gia-pukyong-han-quoc/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-han-quoc/?trang=2)
09:53:47	3572/3572	---M--	200	added ('OK')	application/json	date:Mon,%2005%20Dec%202022%2002:53:43%20GMT	https://duhoctinphat.edu.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fduhoctinphat.edu.vn%2Fngoai-ngu%2Fnhung-cau-hoi-phong-van-du-hoc-han-quoc-pho-bien%2F	D:/clone/duhoc/duhoctinphat.edu.vn/wp-json/oembed/1.0/embedebbb.json	(from https://duhoctinphat.edu.vn/ngoai-ngu/nhung-cau-hoi-phong-van-du-hoc-han-quoc-pho-bien/)
09:53:48	71161/71161	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:44%20GMT	https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-han-quoc/?trang=1	D:/clone/duhoc/duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-han-quoc/indexcc1e.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-han-quoc/?trang=2)
